export_value,balance_value
0,-98947
0,-5
24751,-41685
0,-8587
0,-3181
50,-904991
620,-279601
0,-8259
0,-78064
0,-3198
0,-620258
1681,-17498
8380,-150209
0,-13287
221,-132633
0,-396
0,-2266
0,2298
0,-334
0,275
0,-187
26334,-93195
0,-6
0,-28800
0,-77185
0,-7323
0,-289684
0,35
0,-25383
0,-1927
0,-13886
369,-126609
1,-265969
0,-2465
0,-5387
0,-27950
1,-259226
90,-184650
0,-4637
0,-17642
11771604,11181708
0,-5765
0,-206
5079,-1518565
0,-35715
0,-1536
0,-550
0,-535
0,-2301
0,-57407
0,-5230
0,-2986
0,-1552
8702,-239333
0,-3861
0,-4763
5304,-39118
640805,506500
174753,159966
575,1887
20745,26989
75009,-9754290
408539,301791
121327,-1772275
3991,2638
163390,-120796
2097,-2448
27719,-11493
0,-292664
0,-127615
0,-16467
0,-22057
0,-10
0,-47
0,-1652
0,1379
0,-54916
0,-2
20,-2183
0,-463126
0,-201
0,-4523
0,-4106
0,-30451
0,-1310
0,-441
0,-1551
360,-69798
0,-203595
0,-96158
0,5
0,1921
0,-23033
0,13949
15160,-358268
0,12252
5,959
15,566745
0,-956
0,116039
0,-19
0,-1500
0,-255222
0,2302
0,-462
0,6072
0,-394
0,-188
0,-5750523
23499,23848
107857,121810
0,145
0,-6295
0,-176099
2027,-22454
0,11338
0,325
0,81
0,-1047
0,-233204
0,-2028
0,-1600856
7,-1863719
0,-1122
0,-28144
0,-45293
0,3705
0,-66135
0,-448
2,-954
0,-7191
1480,385
0,10801
520,4792
0,-1012496
38600,-443338
80,-743
20028,-57656
0,-857501
51313,2101
0,-10962
0,-25
0,181
769,727
19545,-6006
2436,-2228
670,-2824
329,-62833
806,-1729
33725,63968
5879,-131004
0,-321
7436,-33271
397,-402877
0,116
17867,-307481
67377,-10889393
733985,720345
725905,696433
28168,26970
43774,8609
5039645,3774737
2855,-14602
2800,-46551
1406,-104607
835,-778
69580,62560
3406,-695647
804,-48349
684354,404995
42908,-172689
2065,-11725
13059,-12135
0,-5276
9313,9276
8389,-32475
0,-1397
1106,-6035
0,-2366
0,-1169606
0,-40072
0,-15946
0,3
176,-20671
1952,-33947
0,1814
0,-3145525
112199,-1391095
4520,-39163
558,-1664
256333,-715385
3605,-2457
79776,-1156773
0,-16127
0,-34572
44,-7577
0,-25
0,-5490
0,-622
0,178
0,-456271
1269,-2584
7611,-271424
3718,-119647
0,-1753
38,-17043
38310,-12620
3281,-10026
0,-61
0,-1211
22,-1779393
0,-177
0,-3121
0,-4582
0,-20378
0,-28638
0,-7122
1576,-975
0,-7804
0,-588
938,-61183
0,-155
14783,-99180
0,-13402
0,-15111
0,131
0,-48319
0,-762
0,-687
0,-3403
0,-1823
0,-688
0,-730
0,462
2,-31472
1747,-104020
0,-1808148
0,-757
1,-2531
0,-141
29,299
0,796
0,-1758
0,-40685
0,-370
0,-146
0,-4639
2627,-153888
0,-106421
0,-17631
0,-39
0,-9455
0,-172
0,-34311
0,-1379
3,-18020966
217,-29530
0,-1708
0,-10382
0,-9056
31,-20391
383,-329547
0,-4042
0,-216066
0,-51524
0,-25564
58,-1515
0,-10905
0,-1786
0,-43123
0,-183
0,-1191
0,-139354
117,-2968
0,8143
0,-6948
0,-916
0,-335
0,-1326
0,-186
0,-1
250,-7461
73682,-435886
0,-2788
0,-11513
0,-1199
159,-10626
0,-285050
206,-6953
56837,-125497
0,-896
414,414
0,-9484
0,-39826
0,-66136
12495,-11064
0,-58406
0,-36591
0,-105104
0,-1055
0,-50400
92,-35289
0,-1772
0,-785
446,-9757
0,-13177
0,8540
0,-1624
0,-2805
123,-75
0,-4197
0,-2517
452,-2056
0,-8192
0,-4114
0,-56627
0,-14750
0,-2685
0,1368
0,-1309
0,-77077
0,-27022
0,-10387
6460,-22181
0,-1779
0,-25818
0,-10203
0,-8718
0,-133
0,-588
0,-3314
0,-22097
0,-2569
0,-253
0,-56532
0,-2823
0,-3261
0,-2843
0,292
0,-835
0,-51658
2759,-11796
0,-124
0,-99196
0,-13
0,-12197
0,-308
61,-5820
0,87
0,0
4792,3696
0,-234
0,-1335
0,-2794
0,-40175
0,-40393
262,-53154
0,-730
16717,-50046
0,-42723
0,-205901
0,-32244
294,-25864
0,-931913
0,-42868
0,-6882
24485,-316655
0,-4506
0,-954
0,-1767
0,-7208
0,-10229
0,-1786
0,-690
0,-33
0,-25421
341,-30575
3,-50263
0,-1036
0,-2113
0,-2089
0,-3167
0,-703
0,-219
0,-2567
0,-310
0,-42
220,-1630
0,-291
0,-339
0,-448
0,-83210
0,-12728
142,-1782
0,-99
0,-32
0,-12
0,-3156
0,-48065
0,-18529
0,-34894
0,-7772
0,108
0,-1599
0,-2413
0,-23067
0,-76742
0,-1254
0,-17761
0,-5993
0,-11853
117,-62035
0,-11020
0,-171823
0,-52513
0,-2547
0,-344
0,-4995
0,387
0,-626
0,-210
0,-80
0,-1228
0,-58
